name	gkz	pop
 Landau in der Pfalz, Kreisfreie Stadt	7313	43666
 Aachen, Kreisfreie Stadt	5313	261781
 Neubrandenburg, Kreisfreie Stadt	13002	57231
 Vogelsbergkreis	6535	104329
 Straubing, Kreisfreie Stadt	9263	45108
 Bad Kissingen	9672	99696
 Dithmarschen	1051	131133
 Hof, Kreisfreie Stadt	9464	43787
 Oberallg??u	9780	149633
S??chsische Schweiz-Osterzgebirge	14628	243546
 St. Wendel	10046	86410
 Hameln-Pyrmont	3252	147442
 Siegen-Wittgenstein	5970	271260
 Frankenthal (Pfalz), Kreisfreie Stadt	7311	45799
 G??nzburg	9774	119215
 Bamberg	9471	143504
 Frankfurt (Oder), Kreisfreie Stadt	12053	53065
Sonneberg	16072	55045
Erfurt, Kreisfreie Stadt	16051	199508
 Minden-L??bbecke	5770	305272
 Pforzheim, Kreisfreie Stadt	8231	120255
 Nienburg (Weser)	3256	120910
 G??strow	13053	91548
 Neckar-Odenwald-Kreis	8225	145417
 Neustadt a.d.Aisch-Bad Windsheim	9575	96808
 Greifswald, Kreisfreie Stadt	13001	50511
 Bad Doberan	13051	119220
 Coburg, Kreisfreie Stadt	9463	38719
 Leverkusen, Kreisfreie Stadt	5316	158099
 Eichst??tt	9176	126705
 Trier-Saarburg	7235	142661
Nordhausen	16062	83509
 Main-Spessart	9677	124490
 Vechta	3460	137374
 Krefeld, Kreisfreie Stadt	5114	228127
 Bielefeld, Kreisfreie Stadt	5711	320532
